# Attribute keys of go.opentelemetry.io/otel/semconv/v1.43.0, from module go.opentelemetry.io/otel v1.46.0.
# Columns: attribute<TAB>go constant.
file.owner.name	FileOwnerNameKey
file.path	FilePathKey
file.size	FileSizeKey
file.symbolic_link.target_path	FileSymbolicLinkTargetPathKey
gcp.apphub_destination.application.container	GCPAppHubDestinationApplicationContainerKey
gcp.apphub_destination.application.id	GCPAppHubDestinationApplicationIDKey
gcp.apphub_destination.application.location	GCPAppHubDestinationApplicationLocationKey
gcp.apphub_destination.service.criticality_type	GCPAppHubDestinationServiceCriticalityTypeKey
gcp.apphub_destination.service.environment_type	GCPAppHubDestinationServiceEnvironmentTypeKey
gcp.apphub_destination.service.id	GCPAppHubDestinationServiceIDKey
gcp.apphub_destination.workload.criticality_type	GCPAppHubDestinationWorkloadCriticalityTypeKey
gcp.apphub_destination.workload.environment_type	GCPAppHubDestinationWorkloadEnvironmentTypeKey
gcp.apphub_destination.workload.id	GCPAppHubDestinationWorkloadIDKey
gcp.apphub.application.container	GCPAppHubApplicationContainerKey
gcp.apphub.application.id	GCPAppHubApplicationIDKey
gcp.apphub.application.location	GCPAppHubApplicationLocationKey
gcp.apphub.service.criticality_type	GCPAppHubServiceCriticalityTypeKey
gcp.apphub.service.environment_type	GCPAppHubServiceEnvironmentTypeKey
gcp.apphub.service.id	GCPAppHubServiceIDKey
gcp.apphub.workload.criticality_type	GCPAppHubWorkloadCriticalityTypeKey
gcp.apphub.workload.environment_type	GCPAppHubWorkloadEnvironmentTypeKey
gcp.apphub.workload.id	GCPAppHubWorkloadIDKey
gcp.client.service	GCPClientServiceKey
gcp.cloud_run.job.execution	GCPCloudRunJobExecutionKey
gcp.cloud_run.job.task_index	GCPCloudRunJobTaskIndexKey
gcp.gce.instance_group_manager.name	GCPGCEInstanceGroupManagerNameKey
gcp.gce.instance_group_manager.region	GCPGCEInstanceGroupManagerRegionKey
gcp.gce.instance_group_manager.zone	GCPGCEInstanceGroupManagerZoneKey
gcp.gce.instance.hostname	GCPGCEInstanceHostnameKey
gcp.gce.instance.name	GCPGCEInstanceNameKey
geo.continent.code	GeoContinentCodeKey
geo.country.iso_code	GeoCountryISOCodeKey
geo.locality.name	GeoLocalityNameKey
geo.location.lat	GeoLocationLatKey
geo.location.lon	GeoLocationLonKey
geo.postal_code	GeoPostalCodeKey
geo.region.iso_code	GeoRegionISOCodeKey
go.cpu.detailed_state	GoCPUDetailedStateKey
go.cpu.state	GoCPUStateKey
go.memory.detailed_type	GoMemoryDetailedTypeKey
go.memory.type	GoMemoryTypeKey
graphql.document	GraphQLDocumentKey
graphql.operation.name	GraphQLOperationNameKey
graphql.operation.type	GraphQLOperationTypeKey
heroku.app.id	HerokuAppIDKey
heroku.release.commit	HerokuReleaseCommitKey
heroku.release.creation_timestamp	HerokuReleaseCreationTimestampKey
host.arch	HostArchKey
host.cpu.cache.l2.size	HostCPUCacheL2SizeKey
host.cpu.family	HostCPUFamilyKey
host.cpu.model.id	HostCPUModelIDKey
host.cpu.model.name	HostCPUModelNameKey
host.cpu.stepping	HostCPUSteppingKey
host.cpu.vendor.id	HostCPUVendorIDKey
host.id	HostIDKey
host.image.id	HostImageIDKey
host.image.name	HostImageNameKey
host.image.version	HostImageVersionKey
host.ip	HostIPKey
host.mac	HostMacKey
host.name	HostNameKey
host.type	HostTypeKey
http.connection.state	HTTPConnectionStateKey
http.request.body.size	HTTPRequestBodySizeKey
http.request.method	HTTPRequestMethodKey
http.request.method_original	HTTPRequestMethodOriginalKey
http.request.resend_count	HTTPRequestResendCountKey
http.request.size	HTTPRequestSizeKey
http.response.body.size	HTTPResponseBodySizeKey
http.response.size	HTTPResponseSizeKey
http.response.status_code	HTTPResponseStatusCodeKey
http.route	HTTPRouteKey
hw.battery.capacity	HwBatteryCapacityKey
hw.battery.chemistry	HwBatteryChemistryKey
hw.battery.state	HwBatteryStateKey
hw.bios_version	HwBiosVersionKey
hw.driver_version	HwDriverVersionKey
hw.enclosure.type	HwEnclosureTypeKey
hw.firmware_version	HwFirmwareVersionKey
hw.gpu.task	HwGpuTaskKey
hw.id	HwIDKey
hw.limit_type	HwLimitTypeKey
hw.logical_disk.raid_level	HwLogicalDiskRaidLevelKey
hw.logical_disk.state	HwLogicalDiskStateKey
hw.memory.type	HwMemoryTypeKey
hw.model	HwModelKey
hw.name	HwNameKey
hw.network.logical_addresses	HwNetworkLogicalAddressesKey
hw.network.physical_address	HwNetworkPhysicalAddressKey
hw.parent	HwParentKey
hw.physical_disk.smart_attribute	HwPhysicalDiskSmartAttributeKey
hw.physical_disk.state	HwPhysicalDiskStateKey
hw.physical_disk.type	HwPhysicalDiskTypeKey
hw.sensor_location	HwSensorLocationKey
hw.serial_number	HwSerialNumberKey
hw.state	HwStateKey
