openshift.clusterquota.name	Development
openshift.clusterquota.uid	Development
opentracing.ref_type	Development
oracle.db.domain	Release_Candidate
oracle.db.instance.name	Release_Candidate
oracle.db.name	Release_Candidate
oracle.db.pdb	Release_Candidate
oracle.db.service	Release_Candidate
oracle_cloud.realm	Development
os.build_id	Development
os.description	Development
os.name	Development
os.type	Development
os.version	Development
otel.component.name	Development
otel.component.type	Development
otel.event.name	Stable
otel.scope.name	Stable
otel.scope.schema_url	Development
otel.scope.version	Stable
otel.span.parent.origin	Development
otel.span.sampling_result	Development
otel.status_code	Stable
otel.status_description	Stable
pprof.location.is_folded	Development
pprof.mapping.has_filenames	Development
pprof.mapping.has_functions	Development
pprof.mapping.has_inline_frames	Development
pprof.mapping.has_line_numbers	Development
pprof.profile.comment	Development
pprof.profile.doc_url	Development
pprof.profile.drop_frames	Development
pprof.profile.keep_frames	Development
pprof.scope.default_sample_type	Development
pprof.scope.sample_type_order	Development
process.args_count	Release_Candidate
process.command	Release_Candidate
process.command_args	Release_Candidate
process.command_line	Release_Candidate
process.context_switch.type	Release_Candidate
process.creation.time	Release_Candidate
process.executable.build_id.gnu	Release_Candidate
process.executable.build_id.go	Release_Candidate
process.executable.build_id.htlhash	Release_Candidate
process.executable.name	Release_Candidate
process.executable.path	Release_Candidate
process.exit.code	Release_Candidate
process.exit.time	Release_Candidate
process.group_leader.pid	Release_Candidate
process.interactive	Release_Candidate
process.linux.cgroup	Release_Candidate
process.owner	Release_Candidate
process.parent_pid	Release_Candidate
process.pid	Release_Candidate
process.real_user.id	Release_Candidate
process.real_user.name	Release_Candidate
process.runtime.description	Release_Candidate
process.runtime.name	Release_Candidate
process.runtime.version	Release_Candidate
process.saved_user.id	Release_Candidate
process.saved_user.name	Release_Candidate
process.session_leader.pid	Release_Candidate
process.state	Release_Candidate
process.title	Release_Candidate
process.user.id	Release_Candidate
process.user.name	Release_Candidate
process.vpid	Release_Candidate
process.working_directory	Release_Candidate
profile.frame.type	Development
rpc.method	Release_Candidate
rpc.method_original	Release_Candidate
rpc.response.status_code	Release_Candidate
rpc.system.name	Release_Candidate
security_rule.category	Development
security_rule.description	Development
security_rule.license	Development
security_rule.name	Development
security_rule.reference	Development
security_rule.ruleset.name	Development
security_rule.uuid	Development
security_rule.version	Development
server.address	Stable
server.port	Stable
service.criticality	Alpha
service.instance.id	Stable
service.name	Stable
service.namespace	Stable
service.peer.name	Development
service.peer.namespace	Development
service.version	Stable
session.id	Development
session.previous_id	Development
signalr.connection.status	Stable
signalr.transport	Stable
source.address	Development
source.port	Development
system.device	Development
system.filesystem.mode	Development
system.filesystem.mountpoint	Development
system.filesystem.state	Development
system.filesystem.type	Development
system.memory.linux.hugepages.state	Development
system.memory.linux.slab.state	Development
system.memory.state	Development
system.paging.direction	Development
system.paging.fault.type	Release_Candidate
system.paging.state	Development
telemetry.distro.name	Stable
telemetry.distro.version	Stable
telemetry.sdk.language	Stable
telemetry.sdk.name	Stable
telemetry.sdk.version	Stable
test.case.name	Development
test.case.result.status	Development
test.suite.name	Development
test.suite.run.status	Development
thread.id	Development
thread.name	Development
tls.cipher	Development
tls.client.certificate	Development
tls.client.certificate_chain	Development
tls.client.hash.md5	Development
tls.client.hash.sha1	Development
tls.client.hash.sha256	Development
tls.client.issuer	Development
tls.client.ja3	Development
tls.client.not_after	Development
tls.client.not_before	Development
tls.client.subject	Development
tls.client.supported_ciphers	Development
tls.curve	Development
tls.established	Development
tls.next_protocol	Development
tls.protocol.name	Development
tls.protocol.version	Development
tls.resumed	Development
tls.server.certificate	Development
tls.server.certificate_chain	Development
tls.server.hash.md5	Development
tls.server.hash.sha1	Development
tls.server.hash.sha256	Development
tls.server.issuer	Development
tls.server.ja3s	Development
tls.server.not_after	Development
tls.server.not_before	Development
tls.server.subject	Development
url.domain	Development
url.extension	Development
url.fragment	Stable
url.full	Stable
url.original	Development
url.path	Stable
url.port	Development
url.query	Stable
url.registered_domain	Development
url.scheme	Stable
url.subdomain	Development
url.template	Development
url.top_level_domain	Development
user.email	Development
user.full_name	Development
user.hash	Development
user.id	Development
user.name	Development
user.roles	Development
user_agent.name	Development
user_agent.original	Stable
user_agent.os.name	Development
user_agent.os.version	Development
user_agent.synthetic.type	Development
user_agent.version	Development
vcs.change.id	Release_Candidate
vcs.change.state	Release_Candidate
vcs.change.title	Release_Candidate
vcs.line_change.type	Release_Candidate
vcs.owner.name	Release_Candidate
vcs.provider.name	Release_Candidate
vcs.ref.base.name	Release_Candidate
vcs.ref.base.revision	Release_Candidate
vcs.ref.base.type	Release_Candidate
vcs.ref.head.name	Release_Candidate
vcs.ref.head.revision	Release_Candidate
vcs.ref.head.type	Release_Candidate
vcs.ref.type	Release_Candidate
vcs.repository.name	Release_Candidate
vcs.repository.url.full	Release_Candidate
vcs.revision_delta.direction	Release_Candidate
webengine.description	Development
webengine.name	Development
webengine.version	Development
zos.smf.id	Development
zos.sysplex.name	Development
